Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000373056, 0.00454819, 1.93001e+10, 1.58305e+09, 42.109, 3.4539, 1023, 480, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000252384, 0.0044063, 2.8528e+10, 1.63402e+09, 62.2425, 3.56512, 1023, 448, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000242624, 0.00440544, 2.96755e+10, 1.63434e+09, 64.7463, 3.56582, 1023, 448, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000368128, 0.00455923, 1.95584e+10, 1.57921e+09, 42.6727, 3.44554, 1023, 448, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000258624, 0.00442704, 2.78396e+10, 1.62637e+09, 60.7407, 3.54842, 1023, 416, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000250656, 0.00441146, 2.87246e+10, 1.63211e+09, 62.6715, 3.56096, 1023, 416, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000364768, 0.00453702, 1.97386e+10, 1.58694e+09, 43.0657, 3.4624, 1023, 416, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000232768, 0.00438928, 3.09321e+10, 1.64036e+09, 67.4878, 3.57895, 1023, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00022416, 0.00440838, 3.21199e+10, 1.63325e+09, 70.0794, 3.56344, 1023, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000376224, 0.00456003, 1.91375e+10, 1.57894e+09, 41.7544, 3.44493, 1023, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000237216, 0.00441171, 3.03521e+10, 1.63202e+09, 66.2223, 3.56075, 1023, 352, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.0002288, 0.00439462, 3.14685e+10, 1.63837e+09, 68.6582, 3.57459, 1023, 352, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000366752, 0.00454227, 1.96318e+10, 1.58511e+09, 42.8328, 3.4584, 1023, 352, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000221344, 0.00436979, 3.25286e+10, 1.64768e+09, 70.971, 3.59491, 1023, 320, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000212288, 0.0044009, 3.39162e+10, 1.63603e+09, 73.9985, 3.5695, 1023, 320, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000306816, 0.00449062, 2.34668e+10, 1.60334e+09, 51.2001, 3.49818, 1023, 320, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000211936, 0.00436707, 3.39725e+10, 1.6487e+09, 74.1214, 3.59715, 1023, 288, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000203968, 0.00436557, 3.52997e+10, 1.64927e+09, 77.017, 3.59839, 1023, 288, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000305088, 0.00448845, 2.35997e+10, 1.60412e+09, 51.4901, 3.49987, 1023, 288, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000199808, 0.00439181, 3.60346e+10, 1.63942e+09, 78.6205, 3.57689, 1023, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000191392, 0.00436877, 3.76191e+10, 1.64806e+09, 82.0776, 3.59575, 1023, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000302944, 0.00448048, 2.37668e+10, 1.60697e+09, 51.8545, 3.5061, 1023, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000197856, 0.00434429, 3.63901e+10, 1.65735e+09, 79.3961, 3.61601, 1023, 224, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000189952, 0.0043376, 3.79043e+10, 1.6599e+09, 82.6998, 3.62159, 1023, 224, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000304992, 0.00450554, 2.36072e+10, 1.59803e+09, 51.5063, 3.4866, 1023, 224, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000202432, 0.00438762, 3.55675e+10, 1.64098e+09, 77.6014, 3.5803, 1023, 192, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000194016, 0.00439894, 3.71103e+10, 1.63676e+09, 80.9675, 3.57108, 1023, 192, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.00031168, 0.00447718, 2.31006e+10, 1.60815e+09, 50.4011, 3.50868, 1023, 192, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000201088, 0.00437462, 3.58052e+10, 1.64586e+09, 78.12, 3.59094, 1023, 160, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000192864, 0.00437626, 3.7332e+10, 1.64524e+09, 81.4512, 3.5896, 1023, 160, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.0003144, 0.00457318, 2.29008e+10, 1.5744e+09, 49.965, 3.43502, 1023, 160, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000189216, 0.00438739, 3.80517e+10, 1.64107e+09, 83.0215, 3.58049, 1023, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000181408, 0.00435981, 3.96895e+10, 1.65145e+09, 86.5949, 3.60314, 1023, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000254784, 0.00443459, 2.82592e+10, 1.6236e+09, 61.6562, 3.54238, 1023, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000229696, 0.00441843, 3.13458e+10, 1.62954e+09, 68.3904, 3.55533, 1023, 96, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000220928, 0.0044208, 3.25898e+10, 1.62866e+09, 71.1046, 3.55343, 1023, 96, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000311584, 0.00450611, 2.31077e+10, 1.59783e+09, 50.4166, 3.48615, 1023, 96, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000308352, 0.00446941, 2.33499e+10, 1.61095e+09, 50.945, 3.51478, 1023, 64, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000299968, 0.00445622, 2.40026e+10, 1.61572e+09, 52.3689, 3.52518, 1023, 64, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000391264, 0.00458301, 1.84019e+10, 1.57102e+09, 40.1494, 3.42766, 1023, 64, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00055616, 0.00474752, 1.29459e+10, 1.51658e+09, 28.2455, 3.30889, 1023, 32, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00054704, 0.00472061, 1.31617e+10, 1.52523e+09, 28.7164, 3.32775, 1023, 32, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.0006792, 0.0048551, 1.06007e+10, 1.48298e+09, 23.1287, 3.23556, 1023, 32, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000269024, 0.00443315, 2.67634e+10, 1.62413e+09, 58.3926, 3.54353, 511, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000261504, 0.00441632, 2.7533e+10, 1.63032e+09, 60.0717, 3.55703, 511, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000418176, 0.0045975, 1.72176e+10, 1.56607e+09, 37.5655, 3.41685, 511, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00027136, 0.00450358, 2.6533e+10, 1.59873e+09, 57.8899, 3.48811, 511, 992, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000264288, 0.00442672, 2.7243e+10, 1.62649e+09, 59.4389, 3.54868, 511, 992, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.00043168, 0.00460995, 1.6679e+10, 1.56184e+09, 36.3904, 3.40763, 511, 992, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00027296, 0.00445702, 2.63775e+10, 1.61543e+09, 57.5506, 3.52455, 511, 960, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00026576, 0.00442272, 2.70921e+10, 1.62796e+09, 59.1097, 3.55189, 511, 960, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000381344, 0.00457882, 1.88806e+10, 1.57246e+09, 41.1938, 3.4308, 511, 960, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000274208, 0.00445514, 2.62574e+10, 1.61611e+09, 57.2886, 3.52604, 511, 928, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000266784, 0.00442758, 2.69881e+10, 1.62617e+09, 58.8828, 3.54798, 511, 928, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000379104, 0.0045569, 1.89922e+10, 1.58002e+09, 41.4372, 3.4473, 511, 928, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000273184, 0.00442995, 2.63559e+10, 1.6253e+09, 57.5034, 3.54609, 511, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000266624, 0.00445702, 2.70043e+10, 1.61543e+09, 58.9182, 3.52455, 511, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000372032, 0.00455882, 1.93532e+10, 1.57936e+09, 42.2249, 3.44585, 511, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000280768, 0.00444083, 2.56439e+10, 1.62132e+09, 55.9501, 3.5374, 511, 864, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000274048, 0.00442573, 2.62728e+10, 1.62685e+09, 57.3221, 3.54947, 511, 864, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000434848, 0.00461251, 1.65575e+10, 1.56097e+09, 36.1253, 3.40574, 511, 864, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000282752, 0.00443811, 2.5464e+10, 1.62231e+09, 55.5575, 3.53957, 511, 832, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000277312, 0.00447469, 2.59635e+10, 1.60905e+09, 56.6474, 3.51064, 511, 832, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.0003704, 0.00455475, 1.94384e+10, 1.58077e+09, 42.4109, 3.44893, 511, 832, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000287744, 0.00444778, 2.50222e+10, 1.61879e+09, 54.5937, 3.53188, 511, 800, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000279904, 0.00443974, 2.57231e+10, 1.62172e+09, 56.1228, 3.53827, 511, 800, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000429568, 0.00460077, 1.6761e+10, 1.56496e+09, 36.5693, 3.41443, 511, 800, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000288928, 0.00444557, 2.49197e+10, 1.61959e+09, 54.3699, 3.53363, 511, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00028128, 0.00446198, 2.55973e+10, 1.61363e+09, 55.8483, 3.52063, 511, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000428736, 0.00463222, 1.67936e+10, 1.55433e+09, 36.6403, 3.39124, 511, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000292384, 0.00448003, 2.46251e+10, 1.60713e+09, 53.7273, 3.50645, 511, 736, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000284128, 0.00445949, 2.53407e+10, 1.61454e+09, 55.2885, 3.5226, 511, 736, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000432544, 0.00463216, 1.66457e+10, 1.55435e+09, 36.3177, 3.39129, 511, 736, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000297408, 0.00449642, 2.42092e+10, 1.60128e+09, 52.8197, 3.49367, 511, 704, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000290752, 0.00449629, 2.47634e+10, 1.60132e+09, 54.0289, 3.49377, 511, 704, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.00043024, 0.00463507, 1.67348e+10, 1.55337e+09, 36.5122, 3.38916, 511, 704, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00023008, 0.00440448, 3.12935e+10, 1.6347e+09, 68.2763, 3.5666, 511, 672, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000223584, 0.00440211, 3.22027e+10, 1.63558e+09, 70.2599, 3.56851, 511, 672, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000359168, 0.00458672, 2.00463e+10, 1.56975e+09, 43.7372, 3.42489, 511, 672, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000230336, 0.004432, 3.12587e+10, 1.62455e+09, 68.2004, 3.54445, 511, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000222464, 0.00443037, 3.23648e+10, 1.62515e+09, 70.6137, 3.54575, 511, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000370176, 0.00456349, 1.94502e+10, 1.57774e+09, 42.4366, 3.44232, 511, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.00023616, 0.00440563, 3.04878e+10, 1.63427e+09, 66.5185, 3.56566, 511, 608, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.000237088, 0.00440563, 3.03685e+10, 1.63427e+09, 66.2581, 3.56566, 511, 608, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.00036528, 0.00456291, 1.97109e+10, 1.57794e+09, 43.0054, 3.44276, 511, 608, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000242016, 0.00443709, 2.97501e+10, 1.62269e+09, 64.9089, 3.54038, 511, 576, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00023616, 0.00440058, 3.04878e+10, 1.63615e+09, 66.5185, 3.56976, 511, 576, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000366848, 0.00455184, 1.96267e+10, 1.58178e+09, 42.8216, 3.45113, 511, 576, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000248352, 0.00441146, 2.89911e+10, 1.63211e+09, 63.253, 3.56096, 511, 544, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.0002416, 0.00439638, 2.98013e+10, 1.63771e+09, 65.0207, 3.57316, 511, 544, Complete
GeForce GTX 780, gpu kernel launching kernels, 7200000, 0.000369152, 0.00450912, 1.95042e+10, 1.59676e+09, 42.5543, 3.48383, 511, 544, Complete
GeForce GTX 780, gpu with multiple kernel launches, 7200000, 0.000205984, 0.00436461, 3.49542e+10, 1.64963e+09, 76.2632, 3.59918, 511, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 7200000, 0.00020112, 0.00435798, 3.57995e+10, 1.65214e+09, 78.1076, 3.60465, 511, 512, Complete
