Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000688512, 0.0153281, 3.9215e+10, 1.76147e+09, 85.7603, 3.85221, 255, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000681536, 0.0153823, 3.96164e+10, 1.75526e+09, 86.6381, 3.83862, 255, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000814304, 0.0154904, 3.31572e+10, 1.74301e+09, 72.5122, 3.81184, 255, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000770816, 0.0153603, 3.50278e+10, 1.75778e+09, 76.6032, 3.84414, 255, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000761408, 0.0153746, 3.54606e+10, 1.75614e+09, 77.5498, 3.84055, 255, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000878496, 0.0154818, 3.07343e+10, 1.74399e+09, 67.2137, 3.81397, 255, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.00067424, 0.015297, 4.00451e+10, 1.76506e+09, 87.5756, 3.86005, 255, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000665184, 0.0152777, 4.05903e+10, 1.76728e+09, 88.7679, 3.86491, 255, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000777152, 0.0154104, 3.47422e+10, 1.75206e+09, 75.9787, 3.83163, 255, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000647456, 0.0152429, 4.17017e+10, 1.77132e+09, 91.1985, 3.87373, 255, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.000636256, 0.0152441, 4.24358e+10, 1.77117e+09, 92.8038, 3.87343, 255, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 27000000, 0.000754016, 0.0153726, 3.58083e+10, 1.75637e+09, 78.31, 3.84104, 255, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 27000000, 0.000683168, 0.0153082, 3.95218e+10, 1.76376e+09, 86.4312, 3.85722, 255, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 27000000, 0.00067728, 0.0153257, 3.98653e+10, 1.76174e+09, 87.1826, 3.8528, 255, 384, Complete
