Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000838848,0.0201565,4.29E+10,1.79E+09,93.4722,3.89001,1023,640, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0171472,0.0364709,2.10E+09,9.87E+08,4.57271,2.14991,1,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00576026,0.0251066,6.25E+09,1.43E+09,13.6121,3.12305,3,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00250093,0.0218052,1.44E+10,1.65E+09,31.352,3.59588,7,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00125997,0.0206136,2.86E+10,1.75E+09,62.2309,3.80374,15,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00122397,0.02064,2.94E+10,1.74E+09,64.0613,3.79889,31,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00095808,0.0202371,3.76E+10,1.78E+09,81.8397,3.87451,63,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000959424,0.0203161,3.75E+10,1.77E+09,81.7251,3.85945,127,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00092368,0.0202873,3.90E+10,1.77E+09,84.8876,3.86493,255,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.000964512,0.0203253,3.73E+10,1.77E+09,81.294,3.8577,511,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00101014,0.0203564,3.56E+10,1.77E+09,77.6216,3.85181,1023,768, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.014725,0.0340612,2.44E+09,1.06E+09,5.32489,2.30201,1,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.0049537,0.0242686,7.27E+09,1.48E+09,15.8284,3.23089,3,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00215619,0.0214605,1.67E+10,1.68E+09,36.3646,3.65364,7,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00112675,0.0204175,3.20E+10,1.76E+09,69.5885,3.84028,15,896, Complete,,,,,,,,,,,
GeForce GTX 780, gpu with cpu final reduction,36000000,0.00107955,0.0203899,3.33E+10,1.77E+09,72.631,3.84548,31,896, Complete,,,,,,,,,,,
