Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Compute Speedup, Total Speedup, Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.3904e-05, 0.000441312, 2.04993e+10, 2.03937e+09, 47.6494, 4.74041, 31, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000163552, 0.000797664, 5.50284e+09, 1.12829e+09, 12.791, 2.62266, 31, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.2432e-05, 0.00047008, 1.44157e+10, 1.91457e+09, 33.5085, 4.45031, 31, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.6352e-05, 0.000463168, 1.5971e+10, 1.94314e+09, 37.1238, 4.51672, 31, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000111136, 0.000517024, 8.09819e+09, 1.74073e+09, 18.8238, 4.04623, 31, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.00010624, 0.000537792, 8.47139e+09, 1.67351e+09, 19.6913, 3.88998, 31, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.0001, 0.000497408, 9e+09, 1.80938e+09, 20.92, 4.2058, 31, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000154464, 0.000552768, 5.8266e+09, 1.62817e+09, 13.5436, 3.78459, 31, 128, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.5856e-05, 0.00044272, 1.96267e+10, 2.03289e+09, 45.6211, 4.72533, 15, 1024, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.9968e-05, 0.000660352, 2.2518e+10, 1.36291e+09, 52.3419, 3.16801, 15, 1024, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.00015952, 0.000584704, 5.64193e+09, 1.53924e+09, 13.1143, 3.57788, 15, 1024, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.8448e-05, 0.00045472, 1.85766e+10, 1.97924e+09, 43.1803, 4.60063, 15, 896, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.2464e-05, 0.000457664, 2.11944e+10, 1.96651e+09, 49.2653, 4.57104, 15, 896, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000161728, 0.000574592, 5.5649e+09, 1.56633e+09, 12.9353, 3.64084, 15, 896, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.2384e-05, 0.000449696, 1.71808e+10, 2.00135e+09, 39.9359, 4.65203, 15, 768, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.5792e-05, 0.000445216, 1.96541e+10, 2.02149e+09, 45.6848, 4.69884, 15, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 9.7856e-05, 0.00049424, 9.19719e+09, 1.82098e+09, 21.3784, 4.23276, 15, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.08e-05, 0.000682752, 1.48026e+10, 1.31819e+09, 34.4079, 3.06407, 15, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.0432e-05, 0.000457344, 1.78458e+10, 1.96788e+09, 41.4816, 4.57424, 15, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000104352, 0.000510496, 8.62466e+09, 1.76299e+09, 20.0475, 4.09798, 15, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.496e-05, 0.000471264, 1.38547e+10, 1.90976e+09, 32.2044, 4.43913, 15, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.9136e-05, 0.000464192, 1.52192e+10, 1.93885e+09, 35.3761, 4.50676, 15, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000182432, 0.000659968, 4.93335e+09, 1.3637e+09, 11.4673, 3.16985, 15, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 7.9744e-05, 0.000477824, 1.12861e+10, 1.88354e+09, 26.2339, 4.37818, 15, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 7.3568e-05, 0.0004712, 1.22336e+10, 1.91002e+09, 28.4363, 4.43973, 15, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000197088, 0.000826016, 4.56649e+09, 1.08957e+09, 10.6145, 2.53264, 15, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000110496, 0.000516832, 8.14509e+09, 1.74138e+09, 18.9328, 4.04774, 15, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.00010416, 0.000508, 8.64055e+09, 1.77165e+09, 20.0845, 4.11811, 15, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000226144, 0.000641024, 3.97977e+09, 1.404e+09, 9.25074, 3.26353, 15, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 0.000202368, 0.000600736, 4.44734e+09, 1.49816e+09, 10.3376, 3.4824, 15, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 0.000196384, 0.00059472, 4.58286e+09, 1.51332e+09, 10.6526, 3.51762, 15, 128, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000320672, 0.000736192, 2.80661e+09, 1.22251e+09, 6.5238, 2.84165, 15, 128, Complete
