Device Type, Method, Vector Size, Compute Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.4832e-05, 0.000433952, 2.00749e+10, 2.07396e+09, 63, 768, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000145728, 0.000761216, 6.17589e+09, 1.18232e+09, 63, 768, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.4032e-05, 0.000449344, 2.04397e+10, 2.00292e+09, 63, 640, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.7792e-05, 0.00044272, 2.38146e+10, 2.03289e+09, 63, 640, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000146528, 0.000557312, 6.14217e+09, 1.61489e+09, 63, 640, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.5024e-05, 0.000439744, 1.99893e+10, 2.04665e+09, 63, 512, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.8528e-05, 0.000435648, 2.33596e+10, 2.06589e+09, 63, 512, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000147072, 0.0005504, 6.11945e+09, 1.63517e+09, 63, 512, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 5.0368e-05, 0.000448032, 1.78685e+10, 2.00879e+09, 63, 384, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 4.4288e-05, 0.000439424, 2.03215e+10, 2.04814e+09, 63, 384, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 0.000151648, 0.000568128, 5.9348e+09, 1.58415e+09, 63, 384, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 4.3232e-05, 0.000447808, 2.08179e+10, 2.00979e+09, 63, 256, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 3.6928e-05, 0.000441984, 2.43717e+10, 2.03627e+09, 63, 256, Complete
GeForce GTX 780, gpu kernel launching kernels, 900000, 9.0144e-05, 0.00049328, 9.98403e+09, 1.82452e+09, 63, 256, Complete
GeForce GTX 780, gpu with multiple kernel launches, 900000, 6.1536e-05, 0.000459424, 1.46256e+10, 1.95897e+09, 63, 128, Complete
GeForce GTX 780, gpu with cpu final reduction, 900000, 5.5168e-05, 0.000449696, 1.63138e+10, 2.00135e+09, 63, 128, Complete
