Threshold Used, Number of items, Correct Classifications, Correct Classification Rate, Number of Skin Items, Correct Skin Classifications, Correct Skin Classification Rate, Number of Other Items, Correct Other Classifications, Correct Other Classification Rate, False Acceptance Rate, False Rejection Rate
0.37, 2583552, 2471121, 0.956482, 138574, 91600, 0.661019, 2444978, 2379521, 0.973228, 0.026772, 0.338981
0.38, 2583552, 2471307, 0.956554, 138574, 91150, 0.657771, 2444978, 2380157, 0.973488, 0.0265119, 0.342229
0.39, 2583552, 2472054, 0.956843, 138574, 90186, 0.650815, 2444978, 2381868, 0.974188, 0.0258121, 0.349185
0.4, 2583552, 2472783, 0.957125, 138574, 88104, 0.63579, 2444978, 2384679, 0.975338, 0.0246624, 0.36421
0.41, 2583552, 2475844, 0.95831, 138574, 86042, 0.62091, 2444978, 2389802, 0.977433, 0.0225671, 0.37909
0.42, 2583552, 2475484, 0.958171, 138574, 84533, 0.610021, 2444978, 2390951, 0.977903, 0.0220971, 0.389979
0.43, 2583552, 2475175, 0.958051, 138574, 82607, 0.596122, 2444978, 2392568, 0.978564, 0.0214358, 0.403878
0.44, 2583552, 2475975, 0.958361, 138574, 80451, 0.580563, 2444978, 2395524, 0.979773, 0.0202268, 0.419437
0.45, 2583552, 2475474, 0.958167, 138574, 79387, 0.572885, 2444978, 2396087, 0.980004, 0.0199965, 0.427115
0.46, 2583552, 2474896, 0.957943, 138574, 77871, 0.561945, 2444978, 2397025, 0.980387, 0.0196129, 0.438055
0.47, 2583552, 2475600, 0.958216, 138574, 77257, 0.557514, 2444978, 2398343, 0.980926, 0.0190738, 0.442486
0.48, 2583552, 2474108, 0.957638, 138574, 74888, 0.540419, 2444978, 2399220, 0.981285, 0.0187151, 0.459581
0.49, 2583552, 2473958, 0.95758, 138574, 73546, 0.530734, 2444978, 2400412, 0.981772, 0.0182276, 0.469266
0.5, 2583552, 2474622, 0.957837, 138574, 72153, 0.520682, 2444978, 2402469, 0.982614, 0.0173863, 0.479318
0.51, 2583552, 2474861, 0.95793, 138574, 71258, 0.514223, 2444978, 2403603, 0.983078, 0.0169224, 0.485777
0.52, 2583552, 2475280, 0.958092, 138574, 69670, 0.502764, 2444978, 2405610, 0.983898, 0.0161016, 0.497236
0.53, 2583552, 2475871, 0.958321, 138574, 68050, 0.491073, 2444978, 2407821, 0.984803, 0.0151973, 0.508927
0.54, 2583552, 2476065, 0.958396, 138574, 67152, 0.484593, 2444978, 2408913, 0.985249, 0.0147506, 0.515407
0.55, 2583552, 2475988, 0.958366, 138574, 66640, 0.480898, 2444978, 2409348, 0.985427, 0.0145727, 0.519102
0.56, 2583552, 2475499, 0.958177, 138574, 65295, 0.471192, 2444978, 2410204, 0.985777, 0.0142226, 0.528808
0.57, 2583552, 2475408, 0.958141, 138574, 64209, 0.463355, 2444978, 2411199, 0.986184, 0.0138157, 0.536645
0.58, 2583552, 2474568, 0.957816, 138574, 62452, 0.450676, 2444978, 2412116, 0.986559, 0.0134406, 0.549324
0.59, 2583552, 2473212, 0.957291, 138574, 60251, 0.434793, 2444978, 2412961, 0.986905, 0.013095, 0.565207
0.6, 2583552, 2473595, 0.95744, 138574, 59304, 0.427959, 2444978, 2414291, 0.987449, 0.012551, 0.572041
0.61, 2583552, 2473012, 0.957214, 138574, 57899, 0.41782, 2444978, 2415113, 0.987785, 0.0122148, 0.58218
0.62, 2583552, 2471936, 0.956797, 138574, 56269, 0.406057, 2444978, 2415667, 0.988012, 0.0119882, 0.593943
0.63, 2583552, 2470520, 0.956249, 138574, 54091, 0.39034, 2444978, 2416429, 0.988323, 0.0116766, 0.60966
0.64, 2583552, 2470582, 0.956273, 138574, 52917, 0.381868, 2444978, 2417665, 0.988829, 0.0111711, 0.618132
0.65, 2583552, 2470438, 0.956218, 138574, 52068, 0.375741, 2444978, 2418370, 0.989117, 0.0108827, 0.624259
0.66, 2583552, 2470206, 0.956128, 138574, 51022, 0.368193, 2444978, 2419184, 0.98945, 0.0105498, 0.631807
0.67, 2583552, 2469075, 0.95569, 138574, 49524, 0.357383, 2444978, 2419551, 0.9896, 0.0103997, 0.642617
0.68, 2583552, 2468510, 0.955471, 138574, 48404, 0.349301, 2444978, 2420106, 0.989827, 0.0101727, 0.650699
0.69, 2583552, 2468322, 0.955399, 138574, 47317, 0.341457, 2444978, 2421005, 0.990195, 0.009805, 0.658543
0.7, 2583552, 2468407, 0.955432, 138574, 45390, 0.327551, 2444978, 2423017, 0.991018, 0.00898208, 0.672449
0.71, 2583552, 2467734, 0.955171, 138574, 43865, 0.316546, 2444978, 2423869, 0.991366, 0.00863362, 0.683454
0.72, 2583552, 2465815, 0.954428, 138574, 41460, 0.29919, 2444978, 2424355, 0.991565, 0.00843484, 0.70081
0.73, 2583552, 2464945, 0.954091, 138574, 39938, 0.288207, 2444978, 2425007, 0.991832, 0.00816817, 0.711793
0.74, 2583552, 2464044, 0.953743, 138574, 38661, 0.278992, 2444978, 2425383, 0.991986, 0.00801439, 0.721008
0.75, 2583552, 2463435, 0.953507, 138574, 37654, 0.271725, 2444978, 2425781, 0.992148, 0.0078516, 0.728275
0.76, 2583552, 2463106, 0.95338, 138574, 36855, 0.265959, 2444978, 2426251, 0.992341, 0.00765937, 0.734041
0.77, 2583552, 2462705, 0.953224, 138574, 36005, 0.259825, 2444978, 2426700, 0.992524, 0.00747573, 0.740175
0.78, 2583552, 2462529, 0.953156, 138574, 35151, 0.253662, 2444978, 2427378, 0.992802, 0.00719843, 0.746338
0.79, 2583552, 2462119, 0.952998, 138574, 34182, 0.24667, 2444978, 2427937, 0.99303, 0.0069698, 0.75333
0.8, 2583552, 2461233, 0.952655, 138574, 32379, 0.233659, 2444978, 2428854, 0.993405, 0.00659474, 0.766341
0.81, 2583552, 2460238, 0.95227, 138574, 30084, 0.217097, 2444978, 2430154, 0.993937, 0.00606304, 0.782903
0.82, 2583552, 2458702, 0.951675, 138574, 27100, 0.195563, 2444978, 2431602, 0.994529, 0.00547081, 0.804437
0.83, 2583552, 2457894, 0.951362, 138574, 25655, 0.185136, 2444978, 2432239, 0.99479, 0.00521027, 0.814864
0.84, 2583552, 2457082, 0.951048, 138574, 24477, 0.176635, 2444978, 2432605, 0.994939, 0.00506058, 0.823365
0.85, 2583552, 2456367, 0.950771, 138574, 23232, 0.16765, 2444978, 2433135, 0.995156, 0.00484381, 0.83235
0.86, 2583552, 2455197, 0.950318, 138574, 20992, 0.151486, 2444978, 2434205, 0.995594, 0.00440617, 0.848514
0.87, 2583552, 2454324, 0.94998, 138574, 19206, 0.138597, 2444978, 2435118, 0.995967, 0.00403276, 0.861403
0.88, 2583552, 2454092, 0.949891, 138574, 18638, 0.134499, 2444978, 2435454, 0.996105, 0.00389533, 0.865501
0.89, 2583552, 2453356, 0.949606, 138574, 17052, 0.123053, 2444978, 2436304, 0.996452, 0.00354768, 0.876947
0.9, 2583552, 2452137, 0.949134, 138574, 14905, 0.10756, 2444978, 2437232, 0.996832, 0.00316813, 0.89244
0.91, 2583552, 2451779, 0.948995, 138574, 13944, 0.100625, 2444978, 2437835, 0.997079, 0.0029215, 0.899375
0.92, 2583552, 2450968, 0.948682, 138574, 12320, 0.0889056, 2444978, 2438648, 0.997411, 0.00258898, 0.911094
0.93, 2583552, 2450676, 0.948568, 138574, 11571, 0.0835005, 2444978, 2439105, 0.997598, 0.00240207, 0.916499
0.94, 2583552, 2449134, 0.947972, 138574, 8819, 0.0636411, 2444978, 2440315, 0.998093, 0.00190717, 0.936359
0.95, 2583552, 2447884, 0.947488, 138574, 6150, 0.0443806, 2444978, 2441734, 0.998673, 0.0013268, 0.955619
0.96, 2583552, 2447521, 0.947347, 138574, 5205, 0.0375612, 2444978, 2442316, 0.998911, 0.00108876, 0.962439
0.97, 2583552, 2447257, 0.947245, 138574, 4550, 0.0328344, 2444978, 2442707, 0.999071, 0.000928843, 0.967166
0.98, 2583552, 2446949, 0.947126, 138574, 3754, 0.0270902, 2444978, 2443195, 0.999271, 0.00072925, 0.97291
0.99, 2583552, 2445780, 0.946673, 138574, 1429, 0.0103122, 2444978, 2444351, 0.999744, 0.000256444, 0.989688
