Device Type, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, 18900000, 0.0110096, 0.0618286, 0.0728381, 1.71669e+009, 2.59479e+008, 511, 1024, Complete
NVS 5400M, 18900000, 0.00698922, 0.0636743, 0.0706635, 2.70417e+009, 2.67465e+008, 511, 512, Complete
NVS 5400M, 18900000, 0.00582835, 0.0631714, 0.0689998, 3.24277e+009, 2.73914e+008, 511, 256, Complete
NVS 5400M, 18900000, 0.00602829, 0.060137, 0.0661652, 3.13522e+009, 2.85648e+008, 511, 128, Complete
NVS 5400M, 18900000, 0.01101, 0.0618991, 0.0729091, 1.71661e+009, 2.59227e+008, 511, 64, Complete
NVS 5400M, 18900000, 0.02149, 0.0619128, 0.0834028, 8.79479e+008, 2.26611e+008, 511, 32, Complete
NVS 5400M, 18900000, 0.042541, 0.0608819, 0.103423, 4.44277e+008, 1.82745e+008, 511, 16, Complete
NVS 5400M, 18900000, 0.0846452, 0.0634241, 0.148069, 2.23285e+008, 1.27643e+008, 511, 8, Complete
NVS 5400M, 18900000, 0.168119, 0.061887, 0.230006, 1.12421e+008, 8.21719e+007, 511, 4, Complete
NVS 5400M, 18900000, 0.00828717, 0.0618768, 0.070164, 2.28063e+009, 2.69369e+008, 255, 1024, Complete
NVS 5400M, 18900000, 0.00589341, 0.061806, 0.0676994, 3.20697e+009, 2.79175e+008, 255, 512, Complete
NVS 5400M, 18900000, 0.00532614, 0.0640841, 0.0694102, 3.54853e+009, 2.72294e+008, 255, 256, Complete
NVS 5400M, 18900000, 0.00587072, 0.0611652, 0.0670359, 3.21937e+009, 2.81938e+008, 255, 128, Complete
NVS 5400M, 18900000, 0.010769, 0.0618405, 0.0726095, 1.75503e+009, 2.60296e+008, 255, 64, Complete
NVS 5400M, 18900000, 0.0212757, 0.0619623, 0.083238, 8.88338e+008, 2.2706e+008, 255, 32, Complete
NVS 5400M, 18900000, 0.0424137, 0.0633995, 0.105813, 4.45611e+008, 1.78617e+008, 255, 16, Complete
NVS 5400M, 18900000, 0.0846596, 0.0618296, 0.146489, 2.23247e+008, 1.2902e+008, 255, 8, Complete
NVS 5400M, 18900000, 0.168266, 0.0639161, 0.232182, 1.12322e+008, 8.14017e+007, 255, 4, Complete
NVS 5400M, 18900000, 0.00692989, 0.062153, 0.0690829, 2.72732e+009, 2.73584e+008, 127, 1024, Complete
NVS 5400M, 18900000, 0.00536496, 0.0617827, 0.0671476, 3.52286e+009, 2.81469e+008, 127, 512, Complete
NVS 5400M, 18900000, 0.00513402, 0.0619856, 0.0671197, 3.68133e+009, 2.81587e+008, 127, 256, Complete
NVS 5400M, 18900000, 0.00580806, 0.0617993, 0.0676073, 3.2541e+009, 2.79555e+008, 127, 128, Complete
NVS 5400M, 18900000, 0.0107245, 0.0619288, 0.0726534, 1.76231e+009, 2.60139e+008, 127, 64, Complete
NVS 5400M, 18900000, 0.0211775, 0.0633628, 0.0845403, 8.92458e+008, 2.23562e+008, 127, 32, Complete
