%time,field.O_x,field.O_y,field.O_t,field.I_t,field.Co_I_t,field.G_x,field.G_y,field.Co_gps_x,field.Co_gps_y
116,1.37519,-0.418083,0.472393,0.269539,0.001225,1.29233,-0.521558,0.0004,0.0004
117,1.38305,-0.413702,0.472393,0.269214,0.001225,1.29233,-0.521558,0.0004,0.0004
118,1.39247,-0.409038,0.472393,0.269024,0.001225,1.29233,-0.521558,0.0004,0.0004
119,1.40876,-0.40097,0.472393,0.268394,0.001225,1.29233,-0.521558,0.0004,0.0004
120,1.41705,-0.396865,0.472393,0.268162,0.001225,1.30517,-0.514587,0.0004,0.0004
121,1.42603,-0.391999,0.472393,0.267819,0.001225,1.32316,-0.504815,0.0004,0.0004
122,1.43208,-0.388721,0.472393,0.267661,0.001225,1.32316,-0.504815,0.0004,0.0004
123,1.44014,-0.384514,0.472393,0.26763,0.001225,1.32316,-0.504815,0.0004,0.0004
124,1.44526,-0.381843,0.472393,0.267509,0.001225,1.32316,-0.504815,0.0004,0.0004
125,1.45293,-0.378263,0.472393,0.26757,0.001225,1.32316,-0.504815,0.0004,0.0004
126,1.46303,-0.373397,0.472393,0.267896,0.001225,1.32316,-0.504815,0.0004,0.0004
127,1.46491,-0.372466,0.472393,0.267958,0.001225,1.32316,-0.504815,0.0004,0.0004
128,1.47583,-0.366823,0.472393,0.26786,0.001225,1.32316,-0.504815,0.0004,0.0004
129,1.47926,-0.365005,0.472393,0.267895,0.001225,1.3618,-0.484945,0.0004,0.0004
130,1.48567,-0.361348,0.472393,0.268038,0.001225,1.44151,-0.443954,0.0004,0.0004
131,1.48862,-0.359668,0.472393,0.268168,0.001225,1.44151,-0.443954,0.0004,0.0004
132,1.49654,-0.355747,0.472393,0.268267,0.001225,1.44151,-0.443954,0.0004,0.0004
133,1.50552,-0.351452,0.4717,0.268259,0.001225,1.44151,-0.443954,0.0004,0.0004
134,1.5088,-0.349922,0.471292,0.268054,0.001225,1.44151,-0.443954,0.0004,0.0004
135,1.51985,-0.344357,0.470859,0.267985,0.001225,1.44151,-0.443954,0.0004,0.0004
136,1.52201,-0.343229,0.470859,0.26798,0.001225,1.44151,-0.443954,0.0004,0.0004
137,1.53465,-0.336631,0.470859,0.267598,0.001225,1.44151,-0.443954,0.0004,0.0004
138,1.53864,-0.334549,0.470859,0.267474,0.001225,1.44635,-0.441461,0.0004,0.0004
139,1.54975,-0.32905,0.470859,0.267234,0.001225,1.46214,-0.433325,0.0004,0.0004
140,1.55281,-0.327534,0.470859,0.267174,0.001225,1.46214,-0.433325,0.0004,0.0004
141,1.56114,-0.323122,0.470859,0.267141,0.001225,1.46214,-0.433325,0.0004,0.0004
142,1.57092,-0.318214,0.470859,0.266762,0.001225,1.46214,-0.433325,0.0004,0.0004
143,1.57466,-0.316363,0.470859,0.266737,0.001225,1.46214,-0.433325,0.0004,0.0004
144,1.58605,-0.31049,0.470859,0.266941,0.001225,1.46214,-0.433325,0.0004,0.0004
145,1.58821,-0.30936,0.470859,0.266952,0.001225,1.46214,-0.433325,0.0004,0.0004
146,1.60013,-0.302843,0.470859,0.266854,0.001225,1.46214,-0.433325,0.0004,0.0004
147,1.60269,-0.301424,0.470859,0.266938,0.001225,1.47614,-0.427229,0.0004,0.0004
148,1.61344,-0.296409,0.470859,0.266921,0.001225,1.55998,-0.390734,0.0004,0.0004
149,1.62044,-0.292803,0.470859,0.267051,0.001225,1.55998,-0.390734,0.0004,0.0004
150,1.62427,-0.290776,0.470859,0.267183,0.001225,1.55998,-0.390734,0.0004,0.0004
151,1.6326,-0.286614,0.470859,0.267215,0.001225,1.55998,-0.390734,0.0004,0.0004
152,1.6356,-0.285129,0.470859,0.267382,0.001225,1.55998,-0.390734,0.0004,0.0004
153,1.64455,-0.280434,0.470859,0.267505,0.001225,1.55998,-0.390734,0.0004,0.0004
154,1.64627,-0.279524,0.470859,0.267538,0.001225,1.55998,-0.390734,0.0004,0.0004
155,1.65704,-0.274162,0.470859,0.26772,0.001225,1.55998,-0.390734,0.0004,0.0004
156,1.66396,-0.270735,0.470859,0.267621,0.001225,1.57365,-0.382776,0.0004,0.0004
157,1.66929,-0.268098,0.470859,0.267815,0.001225,1.58542,-0.375931,0.0004,0.0004
158,1.67666,-0.264447,0.470859,0.268101,0.001225,1.58542,-0.375931,0.0004,0.0004
159,1.68087,-0.262366,0.470859,0.268074,0.001225,1.58542,-0.375931,0.0004,0.0004
160,1.68923,-0.257454,0.470859,0.267949,0.001225,1.58542,-0.375931,0.0004,0.0004
161,1.69222,-0.25569,0.470859,0.267879,0.001225,1.58542,-0.375931,0.0004,0.0004
162,1.70397,-0.250202,0.470859,0.267803,0.001225,1.58542,-0.375931,0.0004,0.0004
163,1.70458,-0.249921,0.470859,0.267779,0.001225,1.58542,-0.375931,0.0004,0.0004
164,1.71776,-0.243043,0.470859,0.267713,0.001225,1.66932,-0.33939,0.0004,0.0004
165,1.72547,-0.239012,0.469961,0.267372,0.001225,1.67284,-0.337857,0.0004,0.0004
166,1.73093,-0.236165,0.469325,0.267114,0.001225,1.67284,-0.337857,0.0004,0.0004
167,1.73837,-0.232984,0.469325,0.266861,0.001225,1.67284,-0.337857,0.0004,0.0004
168,1.74142,-0.231681,0.469325,0.26683,0.001225,1.67284,-0.337857,0.0004,0.0004
169,1.75239,-0.225956,0.469325,0.266706,0.001225,1.67284,-0.337857,0.0004,0.0004
170,1.7546,-0.224803,0.469325,0.266698,0.001225,1.67284,-0.337857,0.0004,0.0004
171,1.76701,-0.218326,0.469325,0.266551,0.001225,1.67284,-0.337857,0.0004,0.0004
172,1.76907,-0.217207,0.469325,0.266493,0.001225,1.67284,-0.337857,0.0004,0.0004
173,1.77996,-0.211184,0.469325,0.266525,0.001225,1.70115,-0.324291,0.0004,0.0004
174,1.78829,-0.207299,0.469325,0.266494,0.001225,1.70525,-0.322326,0.0004,0.0004
175,1.79229,-0.205434,0.469325,0.26633,0.001225,1.70525,-0.322326,0.0004,0.0004
176,1.80204,-0.200042,0.469325,0.265949,0.001225,1.70525,-0.322326,0.0004,0.0004
177,1.80448,-0.198693,0.469325,0.265774,0.001225,1.70525,-0.322326,0.0004,0.0004
178,1.81588,-0.193375,0.469325,0.266199,0.001225,1.70525,-0.322326,0.0004,0.0004
179,1.81897,-0.191871,0.469325,0.266161,0.001225,1.70525,-0.322326,0.0004,0.0004
180,1.82814,-0.187331,0.469325,0.265849,0.001225,1.70525,-0.322326,0.0004,0.0004
181,1.83051,-0.186019,0.469325,0.265867,0.001225,1.70525,-0.322326,0.0004,0.0004
182,1.84033,-0.18059,0.469325,0.265623,0.001225,1.77825,-0.291497,0.0004,0.0004
183,1.84902,-0.176288,0.469325,0.265137,0.001225,1.79777,-0.28325,0.0004,0.0004
184,1.85167,-0.174978,0.469325,0.264812,0.001225,1.79777,-0.28325,0.0004,0.0004
185,1.86265,-0.169852,0.469325,0.264266,0.001225,1.79777,-0.28325,0.0004,0.0004
186,1.86399,-0.169228,0.469325,0.264331,0.001225,1.79777,-0.28325,0.0004,0.0004
187,1.87618,-0.162487,0.469325,0.264489,0.001225,1.79777,-0.28325,0.0004,0.0004
188,1.87957,-0.160903,0.468904,0.264704,0.001225,1.79777,-0.28325,0.0004,0.0004
189,1.88851,-0.156737,0.467791,0.265572,0.001225,1.79777,-0.28325,0.0004,0.0004
190,1.89234,-0.154741,0.468237,0.265528,0.001225,1.79777,-0.28325,0.0004,0.0004
191,1.90169,-0.149859,0.469325,0.264084,0.001225,1.81653,-0.277864,0.0009,0.0004
192,1.91297,-0.14397,0.469325,0.260705,0.001225,1.82471,-0.275512,0.0009,0.0004
193,1.91487,-0.142981,0.469325,0.259999,0.001225,1.82471,-0.275512,0.0009,0.0004
194,1.92499,-0.137624,0.466324,0.253975,0.001225,1.82471,-0.275512,0.0009,0.0004
195,1.9302,-0.135017,0.464635,0.250635,0.001225,1.82471,-0.275512,0.0009,0.0004
196,1.93938,-0.13049,0.461655,0.243397,0.001225,1.82471,-0.275512,0.0009,0.0004
197,1.94474,-0.127799,0.458742,0.238542,0.001225,1.82471,-0.275512,0.0009,0.0004
198,1.95355,-0.123475,0.453985,0.23048,0.001225,1.82471,-0.275512,0.0009,0.0004
199,1.95944,-0.120624,0.449175,0.225247,0.001225,1.82471,-0.275512,0.0009,0.0004
200,1.96871,-0.116321,0.441713,0.216745,0.001225,1.8866,-0.230782,0.0009,0.0004
201,1.98321,-0.110466,0.430072,0.203085,0.001225,1.92708,-0.201527,0.0009,0.0004
202,1.98994,-0.107137,0.423594,0.196577,0.001225,1.92708,-0.201527,0.0009,0.0004
203,1.99818,-0.103143,0.415635,0.189748,0.001225,1.92708,-0.201527,0.0009,0.0004
204,2.00407,-0.10046,0.409455,0.185094,0.001225,1.92708,-0.201527,0.0009,0.0004
205,2.01149,-0.0972555,0.401829,0.178893,0.001225,1.92708,-0.201527,0.0009,0.0004
206,2.01763,-0.0949701,0.3969,0.173636,0.001225,1.92708,-0.201527,0.0009,0.0004
207,2.02495,-0.0923584,0.391091,0.167701,0.001225,1.92708,-0.201527,0.0009,0.0004
208,2.03031,-0.089651,0.385972,0.162962,0.001225,1.92708,-0.201527,0.0009,0.0004
209,2.04085,-0.0852091,0.376371,0.154674,0.001225,1.95865,-0.188658,0.0004,0.0004
210,2.04691,-0.0832519,0.371149,0.150425,0.001225,1.96085,-0.187763,0.0004,0.0004
211,2.05228,-0.0809143,0.366403,0.146777,0.001225,1.96085,-0.187763,0.0004,0.0004
212,2.05739,-0.0787675,0.361945,0.144061,0.001225,1.96085,-0.187763,0.0004,0.0004
213,2.06258,-0.0769376,0.358628,0.141504,0.001225,1.96085,-0.187763,0.0004,0.0004
214,2.06702,-0.075411,0.355809,0.139682,0.001225,1.96085,-0.187763,0.0004,0.0004
215,2.07287,-0.0728822,0.352371,0.138097,0.001225,1.96085,-0.187763,0.0004,0.0004
216,2.0775,-0.0709266,0.349673,0.137105,0.001225,1.96085,-0.187763,0.0004,0.0004
217,2.08415,-0.0688367,0.347915,0.136554,0.001225,1.96085,-0.187763,0.0004,0.0004
218,2.09566,-0.0647833,0.344992,0.135722,0.001225,2.02892,-0.159675,0.0004,0.0004
219,2.10158,-0.0625355,0.343537,0.135429,0.001225,2.03371,-0.157698,0.0004,0.0004
